,datetime,is_winter,power[W],measured_occupancy,log_power,occupancy_geoma,occupancy_pht,geoma,occupancy_night_rule_geoma,occupancy_night_rule_pht
27,2012-07-15 06:45:00,0.0,160.221,1,2.205,1,1,1.998,1,1
28,2012-07-15 07:00:00,0.0,89.071,1,1.95,0,1,1.996,0,1
29,2012-07-15 07:15:00,0.0,72.838,1,1.862,0,1,1.989,0,1
30,2012-07-15 07:30:00,0.0,106.928,1,2.029,1,1,1.991,1,1
31,2012-07-15 07:45:00,0.0,127.369,1,2.105,1,1,1.997,1,1
32,2012-07-15 08:00:00,0.0,171.272,1,2.234,1,1,2.009,1,1
33,2012-07-15 08:15:00,0.0,207.337,1,2.317,1,1,2.024,1,1
34,2012-07-15 08:30:00,0.0,238.965,1,2.378,1,1,2.042,1,1
35,2012-07-15 08:45:00,0.0,217.732,1,2.338,1,1,2.057,1,1
36,2012-07-15 09:00:00,0.0,175.546,1,2.244,1,1,2.066,1,1
37,2012-07-15 09:15:00,0.0,137.781,1,2.139,1,1,2.07,1,1
38,2012-07-15 09:30:00,0.0,135.778,1,2.133,1,1,2.073,1,1
39,2012-07-15 09:45:00,0.0,113.044,1,2.053,0,1,2.072,0,1
40,2012-07-15 10:00:00,0.0,83.601,1,1.922,0,1,2.064,0,1
41,2012-07-15 10:15:00,0.0,339.596,1,2.531,1,1,2.088,1,1
42,2012-07-15 10:30:00,0.0,156.511,1,2.195,1,1,2.093,1,1
43,2012-07-15 10:45:00,0.0,129.345,1,2.112,1,1,2.094,1,1
44,2012-07-15 11:00:00,0.0,126.881,1,2.103,1,1,2.094,1,1
45,2012-07-15 11:15:00,0.0,119.54,1,2.078,0,1,2.094,0,1
46,2012-07-15 11:30:00,0.0,82.039,1,1.914,0,0,2.085,0,0
47,2012-07-15 11:45:00,0.0,81.308,1,1.91,0,0,2.076,0,0
48,2012-07-15 12:00:00,0.0,95.476,1,1.98,0,0,2.071,0,0
49,2012-07-15 12:15:00,0.0,60.788,0,1.784,0,0,2.057,0,0
50,2012-07-15 12:30:00,0.0,66.702,0,1.824,0,0,2.045,0,0
51,2012-07-15 12:45:00,0.0,100.61,0,2.003,0,0,2.043,0,0
52,2012-07-15 13:00:00,0.0,108.731,0,2.036,0,0,2.043,0,0
53,2012-07-15 13:15:00,0.0,119.828,0,2.079,1,0,2.044,1,0
54,2012-07-15 13:30:00,0.0,129.46,0,2.112,1,0,2.048,1,0
55,2012-07-15 13:45:00,0.0,60.508,0,1.782,0,0,2.035,0,0
56,2012-07-15 14:00:00,0.0,72.243,0,1.859,0,0,2.026,0,0
57,2012-07-15 14:15:00,0.0,84.268,0,1.926,0,0,2.021,0,0
58,2012-07-15 14:30:00,0.0,52.118,0,1.717,0,0,2.006,0,0
59,2012-07-15 14:45:00,0.0,77.034,0,1.887,0,0,2.0,0,0
60,2012-07-15 15:00:00,0.0,79.552,0,1.901,0,0,1.995,0,0
61,2012-07-15 15:15:00,0.0,74.974,0,1.875,0,0,1.989,0,0
62,2012-07-15 15:30:00,0.0,132.966,0,2.124,1,0,1.996,1,0
63,2012-07-15 15:45:00,0.0,126.092,0,2.101,1,0,2.001,1,0
64,2012-07-15 16:00:00,0.0,98.458,0,1.993,0,0,2.0,0,0
65,2012-07-15 16:15:00,0.0,81.803,0,1.913,0,0,1.996,0,0
66,2012-07-15 16:30:00,0.0,74.921,0,1.875,0,0,1.99,0,0
67,2012-07-15 16:45:00,0.0,51.959,0,1.716,0,0,1.976,0,0
68,2012-07-15 17:00:00,0.0,86.123,0,1.935,0,0,1.974,0,0
69,2012-07-15 17:15:00,0.0,77.032,1,1.887,0,0,1.97,0,0
70,2012-07-15 17:30:00,0.0,134.591,1,2.129,1,0,1.978,1,0
71,2012-07-15 17:45:00,0.0,578.997,1,2.763,1,1,2.017,1,1
72,2012-07-15 18:00:00,0.0,587.855,1,2.769,1,1,2.055,1,1
73,2012-07-15 18:15:00,0.0,110.452,1,2.043,0,1,2.054,0,1
74,2012-07-15 18:30:00,0.0,129.428,1,2.112,1,1,2.057,1,1
75,2012-07-15 18:45:00,0.0,176.156,1,2.246,1,1,2.066,1,1
76,2012-07-15 19:00:00,0.0,64.999,1,1.813,0,1,2.054,0,1
77,2012-07-15 19:15:00,0.0,139.561,1,2.145,1,1,2.058,1,1
78,2012-07-15 19:30:00,0.0,90.935,1,1.959,0,0,2.053,0,0
79,2012-07-15 19:45:00,0.0,75.182,1,1.876,0,0,2.044,0,0
80,2012-07-15 20:00:00,0.0,160.303,1,2.205,1,0,2.053,1,0
81,2012-07-15 20:15:00,0.0,250.63,1,2.399,1,1,2.07,1,1
82,2012-07-15 20:30:00,0.0,253.695,1,2.404,1,1,2.087,1,1
83,2012-07-15 20:45:00,0.0,328.868,1,2.517,1,1,2.108,1,1
84,2012-07-15 21:00:00,0.0,308.677,1,2.49,1,1,2.127,1,1
85,2012-07-15 21:15:00,0.0,292.104,1,2.466,1,1,2.144,1,1
86,2012-07-15 21:30:00,0.0,273.793,1,2.437,1,1,2.159,1,1
87,2012-07-15 21:45:00,0.0,243.845,1,2.387,1,1,2.17,1,1
88,2012-07-15 22:00:00,0.0,268.004,1,2.428,1,1,2.183,1,1
89,2012-07-15 22:15:00,0.0,279.939,1,2.447,1,1,2.196,1,1
90,2012-07-15 22:30:00,0.0,220.993,1,2.344,1,1,2.204,1,1
91,2012-07-15 22:45:00,0.0,215.764,1,2.334,1,1,2.21,1,1
92,2012-07-15 23:00:00,0.0,175.387,1,2.244,1,1,2.212,1,1
93,2012-07-15 23:15:00,0.0,124.598,1,2.096,0,1,2.206,1,1
94,2012-07-15 23:30:00,0.0,92.373,1,1.966,0,0,2.194,1,1
95,2012-07-15 23:45:00,0.0,84.803,1,1.928,0,0,2.181,1,1
96,2012-07-16 00:00:00,0.0,57.214,1,1.758,0,0,2.16,1,1
97,2012-07-16 00:15:00,0.0,84.017,1,1.924,0,0,2.148,1,1
98,2012-07-16 00:30:00,0.0,82.09,1,1.914,0,0,2.136,1,1
99,2012-07-16 00:45:00,0.0,62.06,1,1.793,0,0,2.119,1,1
100,2012-07-16 01:00:00,0.0,117.441,1,2.07,0,0,2.117,1,1
101,2012-07-16 01:15:00,0.0,131.228,1,2.118,1,0,2.117,1,1
102,2012-07-16 01:30:00,0.0,104.874,1,2.021,0,0,2.112,1,1
103,2012-07-16 01:45:00,0.0,157.553,1,2.197,1,0,2.116,1,1
104,2012-07-16 02:00:00,0.0,85.587,1,1.932,0,0,2.107,1,1
105,2012-07-16 02:15:00,0.0,62.486,1,1.796,0,0,2.091,1,1
106,2012-07-16 02:30:00,0.0,88.961,1,1.949,0,0,2.084,1,1
107,2012-07-16 02:45:00,0.0,72.872,1,1.863,0,0,2.073,1,1
108,2012-07-16 03:00:00,0.0,65.457,1,1.816,0,0,2.06,1,1
109,2012-07-16 03:15:00,0.0,92.789,1,1.967,0,0,2.056,1,1
110,2012-07-16 03:30:00,0.0,110.921,1,2.045,0,0,2.055,1,1
111,2012-07-16 03:45:00,0.0,118.901,1,2.075,1,0,2.056,1,1
112,2012-07-16 04:00:00,0.0,135.001,1,2.13,1,0,2.06,1,1
113,2012-07-16 04:15:00,0.0,84.666,1,1.928,0,0,2.053,1,1
114,2012-07-16 04:30:00,0.0,69.418,1,1.841,0,0,2.043,1,1
115,2012-07-16 04:45:00,0.0,88.169,1,1.945,0,0,2.038,1,1
116,2012-07-16 05:00:00,0.0,65.359,1,1.815,0,0,2.027,1,1
117,2012-07-16 05:15:00,0.0,70.908,1,1.851,0,0,2.018,1,1
118,2012-07-16 05:30:00,0.0,87.572,1,1.942,0,0,2.014,1,1
119,2012-07-16 05:45:00,0.0,66.604,1,1.824,0,0,2.005,1,1
120,2012-07-16 06:00:00,0.0,127.31,1,2.105,1,0,2.01,1,1
121,2012-07-16 06:15:00,0.0,136.779,1,2.136,1,0,2.016,1,1
122,2012-07-16 06:30:00,0.0,145.155,1,2.162,1,0,2.023,1,1
123,2012-07-16 06:45:00,0.0,143.098,1,2.156,1,0,2.03,1,1
124,2012-07-16 07:00:00,0.0,149.621,1,2.175,1,1,2.037,1,1
125,2012-07-16 07:15:00,0.0,123.363,1,2.091,1,1,2.04,1,1
126,2012-07-16 07:30:00,0.0,107.399,1,2.031,0,1,2.039,1,1
127,2012-07-16 07:45:00,0.0,343.908,1,2.536,1,1,2.064,1,1
128,2012-07-16 08:00:00,0.0,106.042,1,2.025,0,1,2.062,1,1
129,2012-07-16 08:15:00,0.0,175.434,1,2.244,1,1,2.071,1,1
130,2012-07-16 08:30:00,0.0,180.569,1,2.257,1,1,2.081,1,1
131,2012-07-16 08:45:00,0.0,154.04,1,2.188,1,1,2.086,1,1
132,2012-07-16 09:00:00,0.0,411.614,1,2.614,1,1,2.112,1,1
133,2012-07-16 09:15:00,0.0,1140.92,1,3.057,1,1,2.16,1,1
134,2012-07-16 09:30:00,0.0,702.636,1,2.847,1,1,2.194,1,1
135,2012-07-16 09:45:00,0.0,159.567,0,2.203,1,1,2.194,1,1
136,2012-07-16 10:00:00,0.0,1437.149,0,3.158,1,1,2.243,1,1
137,2012-07-16 10:15:00,0.0,123.54,0,2.092,0,1,2.235,0,1
138,2012-07-16 10:30:00,0.0,1054.374,0,3.023,1,1,2.274,1,1
139,2012-07-16 10:45:00,0.0,650.602,0,2.813,1,1,2.301,1,1
140,2012-07-16 11:00:00,0.0,114.946,0,2.06,0,1,2.289,0,1
141,2012-07-16 11:15:00,0.0,141.444,1,2.151,0,0,2.282,0,0
142,2012-07-16 11:30:00,0.0,1689.801,1,3.228,1,1,2.33,1,1
143,2012-07-16 11:45:00,0.0,812.275,1,2.91,1,1,2.359,1,1
144,2012-07-16 12:00:00,0.0,110.369,1,2.043,0,0,2.343,0,0
145,2012-07-16 12:15:00,0.0,245.791,1,2.391,1,0,2.345,1,0
146,2012-07-16 12:30:00,0.0,231.302,1,2.364,1,0,2.346,1,0
147,2012-07-16 12:45:00,0.0,205.705,1,2.313,0,0,2.345,0,0
148,2012-07-16 13:00:00,0.0,158.305,1,2.199,0,0,2.337,0,0
149,2012-07-16 13:15:00,0.0,190.332,1,2.28,0,0,2.334,0,0
150,2012-07-16 13:30:00,0.0,404.071,1,2.606,1,0,2.348,1,0
151,2012-07-16 13:45:00,0.0,1450.244,1,3.161,1,1,2.389,1,1
152,2012-07-16 14:00:00,0.0,201.403,1,2.304,0,1,2.384,0,1
153,2012-07-16 14:15:00,0.0,226.986,1,2.356,0,1,2.383,0,1
154,2012-07-16 14:30:00,0.0,196.824,1,2.294,0,0,2.379,0,0
155,2012-07-16 14:45:00,0.0,119.784,0,2.078,0,0,2.364,0,0
156,2012-07-16 15:00:00,0.0,132.544,0,2.122,0,0,2.351,0,0
157,2012-07-16 15:15:00,0.0,134.119,0,2.127,0,0,2.34,0,0
158,2012-07-16 15:30:00,0.0,102.431,0,2.01,0,0,2.324,0,0
159,2012-07-16 15:45:00,0.0,102.061,0,2.009,0,0,2.308,0,0
160,2012-07-16 16:00:00,0.0,81.48,0,1.911,0,0,2.288,0,0
161,2012-07-16 16:15:00,0.0,59.059,1,1.771,0,0,2.262,0,0
162,2012-07-16 16:30:00,0.0,87.788,1,1.943,0,0,2.246,0,0
163,2012-07-16 16:45:00,0.0,72.781,1,1.862,0,0,2.227,0,0
164,2012-07-16 17:00:00,0.0,72.295,1,1.859,0,0,2.209,0,0
165,2012-07-16 17:15:00,0.0,975.402,1,2.989,1,1,2.248,1,1
166,2012-07-16 17:30:00,0.0,669.878,1,2.826,1,1,2.277,1,1
167,2012-07-16 17:45:00,0.0,383.97,1,2.584,1,1,2.292,1,1
168,2012-07-16 18:00:00,0.0,384.838,1,2.585,1,1,2.307,1,1
169,2012-07-16 18:15:00,0.0,1055.313,1,3.023,1,1,2.342,1,1
170,2012-07-16 18:30:00,0.0,1214.831,1,3.085,1,1,2.38,1,1
171,2012-07-16 18:45:00,0.0,184.75,1,2.267,0,1,2.374,0,1
172,2012-07-16 19:00:00,0.0,412.634,1,2.616,1,1,2.386,1,1
173,2012-07-16 19:15:00,0.0,345.579,1,2.539,1,1,2.394,1,1
174,2012-07-16 19:30:00,0.0,398.875,1,2.601,1,1,2.404,1,1
175,2012-07-16 19:45:00,0.0,110.403,1,2.043,0,0,2.386,0,0
176,2012-07-16 20:00:00,0.0,130.691,1,2.116,0,0,2.373,0,0
177,2012-07-16 20:15:00,0.0,69.83,1,1.844,0,0,2.346,0,0
178,2012-07-16 20:30:00,0.0,66.953,1,1.826,0,0,2.32,0,0
179,2012-07-16 20:45:00,0.0,831.162,1,2.92,1,1,2.35,1,1
180,2012-07-16 21:00:00,0.0,2099.671,1,3.322,1,1,2.399,1,1
181,2012-07-16 21:15:00,0.0,991.744,1,2.996,1,1,2.429,1,1
182,2012-07-16 21:30:00,0.0,1182.454,1,3.073,1,1,2.461,1,1
183,2012-07-16 21:45:00,0.0,2209.974,1,3.344,1,1,2.505,1,1
184,2012-07-16 22:00:00,0.0,1127.133,1,3.052,1,1,2.532,1,1
185,2012-07-16 22:15:00,0.0,2055.534,1,3.313,1,1,2.571,1,1
186,2012-07-16 22:30:00,0.0,217.394,1,2.337,0,1,2.56,1,1
187,2012-07-16 22:45:00,0.0,132.014,1,2.121,0,0,2.538,1,1
188,2012-07-16 23:00:00,0.0,71.581,1,1.855,0,0,2.504,1,1
189,2012-07-16 23:15:00,0.0,66.247,1,1.821,0,0,2.469,1,1
190,2012-07-16 23:30:00,0.0,88.047,1,1.945,0,0,2.443,1,1
191,2012-07-16 23:45:00,0.0,64.682,1,1.811,0,0,2.412,1,1
192,2012-07-17 00:00:00,0.0,122.397,1,2.088,0,0,2.395,1,1
193,2012-07-17 00:15:00,0.0,136.419,1,2.135,0,0,2.382,1,1
194,2012-07-17 00:30:00,0.0,103.575,1,2.015,0,0,2.364,1,1
195,2012-07-17 00:45:00,0.0,95.299,1,1.979,0,0,2.345,1,1
196,2012-07-17 01:00:00,0.0,78.958,1,1.897,0,0,2.322,1,1
197,2012-07-17 01:15:00,0.0,60.509,1,1.782,0,0,2.295,1,1
198,2012-07-17 01:30:00,0.0,88.215,1,1.946,0,0,2.278,1,1
199,2012-07-17 01:45:00,0.0,69.452,1,1.842,0,0,2.256,1,1
200,2012-07-17 02:00:00,0.0,69.413,1,1.841,0,0,2.235,1,1
201,2012-07-17 02:15:00,0.0,115.341,1,2.062,0,0,2.227,1,1
202,2012-07-17 02:30:00,0.0,114.09,1,2.057,0,0,2.218,1,1
203,2012-07-17 02:45:00,0.0,124.466,1,2.095,0,0,2.212,1,1
204,2012-07-17 03:00:00,0.0,110.39,1,2.043,0,0,2.204,1,1
205,2012-07-17 03:15:00,0.0,57.13,1,1.757,0,0,2.181,1,1
206,2012-07-17 03:30:00,0.0,83.619,1,1.922,0,0,2.168,1,1
207,2012-07-17 03:45:00,0.0,78.799,1,1.897,0,0,2.155,1,1
208,2012-07-17 04:00:00,0.0,59.793,1,1.777,0,0,2.136,1,1
209,2012-07-17 04:15:00,0.0,91.448,1,1.961,0,0,2.127,1,1
210,2012-07-17 04:30:00,0.0,69.484,1,1.842,0,0,2.113,1,1
211,2012-07-17 04:45:00,0.0,179.373,1,2.254,1,0,2.12,1,1
212,2012-07-17 05:00:00,0.0,216.525,1,2.336,1,0,2.131,1,1
213,2012-07-17 05:15:00,0.0,197.336,1,2.295,1,1,2.139,1,1
214,2012-07-17 05:30:00,0.0,166.69,1,2.222,1,1,2.143,1,1
215,2012-07-17 05:45:00,0.0,169.822,1,2.23,1,1,2.147,1,1
216,2012-07-17 06:00:00,0.0,396.433,1,2.598,1,1,2.17,1,1
217,2012-07-17 06:15:00,0.0,82.861,1,1.918,0,1,2.157,1,1
218,2012-07-17 06:30:00,0.0,80.783,1,1.907,0,0,2.145,1,1
219,2012-07-17 06:45:00,0.0,77.169,1,1.887,0,0,2.132,1,1
220,2012-07-17 07:00:00,0.0,178.282,1,2.251,1,0,2.138,1,1
221,2012-07-17 07:15:00,0.0,346.214,1,2.539,1,1,2.158,1,1
222,2012-07-17 07:30:00,0.0,448.053,1,2.651,1,1,2.183,1,1
223,2012-07-17 07:45:00,0.0,179.209,1,2.253,1,1,2.186,1,1
224,2012-07-17 08:00:00,0.0,106.602,1,2.028,0,1,2.178,1,1
225,2012-07-17 08:15:00,0.0,114.277,1,2.058,0,0,2.172,1,1
226,2012-07-17 08:30:00,0.0,162.27,1,2.21,1,0,2.174,1,1
227,2012-07-17 08:45:00,0.0,105.01,1,2.021,0,0,2.166,1,1
228,2012-07-17 09:00:00,0.0,121.869,1,2.086,0,0,2.162,1,1
229,2012-07-17 09:15:00,0.0,130.902,0,2.117,0,0,2.16,0,0
230,2012-07-17 09:30:00,0.0,150.909,0,2.179,1,0,2.161,1,0
231,2012-07-17 09:45:00,0.0,139.857,0,2.146,0,0,2.16,0,0
232,2012-07-17 10:00:00,0.0,114.034,0,2.057,0,0,2.155,0,0
233,2012-07-17 10:15:00,0.0,61.361,0,1.788,0,0,2.137,0,0
234,2012-07-17 10:30:00,0.0,97.763,1,1.99,0,0,2.129,0,0
235,2012-07-17 10:45:00,0.0,61.284,1,1.787,0,0,2.112,0,0
236,2012-07-17 11:00:00,0.0,255.199,1,2.407,1,0,2.127,1,0
237,2012-07-17 11:15:00,0.0,566.858,1,2.753,1,1,2.158,1,1
238,2012-07-17 11:30:00,0.0,111.356,1,2.047,0,1,2.153,0,1
239,2012-07-17 11:45:00,0.0,132.189,1,2.121,0,1,2.151,0,1
240,2012-07-17 12:00:00,0.0,287.671,1,2.459,1,1,2.167,1,1
241,2012-07-17 12:15:00,0.0,667.701,1,2.825,1,1,2.2,1,1
242,2012-07-17 12:30:00,0.0,414.154,1,2.617,1,1,2.22,1,1
243,2012-07-17 12:45:00,0.0,221.442,1,2.345,1,1,2.227,1,1
244,2012-07-17 13:00:00,0.0,490.849,1,2.691,1,1,2.25,1,1
245,2012-07-17 13:15:00,0.0,288.093,1,2.46,1,1,2.26,1,1
246,2012-07-17 13:30:00,0.0,112.896,1,2.053,0,1,2.25,0,1
247,2012-07-17 13:45:00,0.0,75.072,1,1.875,0,0,2.231,0,0
248,2012-07-17 14:00:00,0.0,95.974,1,1.982,0,0,2.219,0,0
249,2012-07-17 14:15:00,0.0,67.903,1,1.832,0,0,2.199,0,0
250,2012-07-17 14:30:00,0.0,78.714,1,1.896,0,0,2.184,0,0
251,2012-07-17 14:45:00,0.0,91.075,1,1.959,0,0,2.173,0,0
252,2012-07-17 15:00:00,0.0,111.933,1,2.049,0,0,2.167,0,0
253,2012-07-17 15:15:00,0.0,134.476,1,2.129,0,0,2.165,0,0
254,2012-07-17 15:30:00,0.0,138.08,1,2.14,0,0,2.164,0,0
255,2012-07-17 15:45:00,0.0,74.715,1,1.873,0,0,2.149,0,0
256,2012-07-17 16:00:00,0.0,86.39,1,1.936,0,0,2.138,0,0
257,2012-07-17 16:15:00,0.0,81.301,1,1.91,0,0,2.127,0,0
258,2012-07-17 16:30:00,0.0,58.157,1,1.765,0,0,2.109,0,0
259,2012-07-17 16:45:00,0.0,141.764,1,2.152,1,0,2.111,1,0
260,2012-07-17 17:00:00,0.0,126.24,1,2.101,0,0,2.111,0,0
261,2012-07-17 17:15:00,0.0,1399.764,1,3.146,1,1,2.162,1,1
262,2012-07-17 17:30:00,0.0,1205.218,1,3.081,1,1,2.208,1,1
263,2012-07-17 17:45:00,0.0,674.559,1,2.829,1,1,2.239,1,1
264,2012-07-17 18:00:00,0.0,187.525,1,2.273,1,1,2.241,1,1
265,2012-07-17 18:15:00,0.0,1407.415,1,3.148,1,1,2.286,1,1
266,2012-07-17 18:30:00,0.0,1109.571,1,3.045,1,1,2.324,1,1
267,2012-07-17 18:45:00,0.0,236.004,1,2.373,1,1,2.327,1,1
268,2012-07-17 19:00:00,0.0,177.666,1,2.25,0,1,2.323,0,1
269,2012-07-17 19:15:00,0.0,212.435,1,2.327,1,1,2.323,1,1
270,2012-07-17 19:30:00,0.0,368.39,1,2.566,1,1,2.335,1,1
271,2012-07-17 19:45:00,0.0,151.977,1,2.182,0,1,2.328,0,1
272,2012-07-17 20:00:00,0.0,64.323,1,1.808,0,0,2.302,0,0
273,2012-07-17 20:15:00,0.0,115.045,1,2.061,0,0,2.29,0,0
274,2012-07-17 20:30:00,0.0,140.029,1,2.146,0,0,2.282,0,0
275,2012-07-17 20:45:00,0.0,167.728,1,2.225,0,0,2.28,0,0
276,2012-07-17 21:00:00,0.0,1251.313,1,3.097,1,1,2.32,1,1
277,2012-07-17 21:15:00,0.0,1261.815,1,3.101,1,1,2.359,1,1
278,2012-07-17 21:30:00,0.0,920.195,1,2.964,1,1,2.39,1,1
279,2012-07-17 21:45:00,0.0,2251.196,1,3.352,1,1,2.438,1,1
280,2012-07-17 22:00:00,0.0,956.279,1,2.981,1,1,2.465,1,1
281,2012-07-17 22:15:00,0.0,1842.816,1,3.265,1,1,2.505,1,1
282,2012-07-17 22:30:00,0.0,1453.787,1,3.163,1,1,2.538,1,1
283,2012-07-17 22:45:00,0.0,747.457,1,2.874,1,1,2.555,1,1
284,2012-07-17 23:00:00,0.0,99.731,1,1.999,0,0,2.527,1,1
285,2012-07-17 23:15:00,0.0,169.184,1,2.228,0,0,2.512,1,1
286,2012-07-17 23:30:00,0.0,116.549,1,2.067,0,0,2.49,1,1
287,2012-07-17 23:45:00,0.0,118.453,1,2.074,0,0,2.469,1,1
288,2012-07-18 00:00:00,0.0,134.784,1,2.13,0,0,2.452,1,1
289,2012-07-18 00:15:00,0.0,84.974,1,1.929,0,0,2.426,1,1
290,2012-07-18 00:30:00,0.0,75.358,1,1.877,0,0,2.398,1,1
291,2012-07-18 00:45:00,0.0,90.212,1,1.955,0,0,2.376,1,1
292,2012-07-18 01:00:00,0.0,63.216,1,1.801,0,0,2.347,1,1
293,2012-07-18 01:15:00,0.0,75.98,1,1.881,0,0,2.324,1,1
294,2012-07-18 01:30:00,0.0,86.989,1,1.939,0,0,2.305,1,1
295,2012-07-18 01:45:00,0.0,63.348,1,1.802,0,0,2.28,1,1
296,2012-07-18 02:00:00,0.0,131.853,1,2.12,0,0,2.272,1,1
297,2012-07-18 02:15:00,0.0,130.375,1,2.115,0,0,2.264,1,1
298,2012-07-18 02:30:00,0.0,99.388,1,1.997,0,0,2.251,1,1
299,2012-07-18 02:45:00,0.0,113.797,1,2.056,0,0,2.241,1,1
300,2012-07-18 03:00:00,0.0,81.065,1,1.909,0,0,2.224,1,1
301,2012-07-18 03:15:00,0.0,53.288,1,1.727,0,0,2.199,1,1
302,2012-07-18 03:30:00,0.0,82.602,1,1.917,0,0,2.185,1,1
303,2012-07-18 03:45:00,0.0,75.955,1,1.881,0,0,2.17,1,1
304,2012-07-18 04:00:00,0.0,53.944,1,1.732,0,0,2.148,1,1
305,2012-07-18 04:15:00,0.0,87.817,1,1.944,0,0,2.138,1,1
306,2012-07-18 04:30:00,0.0,91.419,1,1.961,0,0,2.129,1,1
307,2012-07-18 04:45:00,0.0,112.385,1,2.051,0,0,2.125,1,1
308,2012-07-18 05:00:00,0.0,131.587,1,2.119,0,0,2.125,1,1
309,2012-07-18 05:15:00,0.0,111.627,1,2.048,0,0,2.121,1,1
310,2012-07-18 05:30:00,0.0,73.873,1,1.868,0,0,2.108,1,1
311,2012-07-18 05:45:00,0.0,84.262,1,1.926,0,0,2.099,1,1
312,2012-07-18 06:00:00,0.0,69.599,1,1.843,0,0,2.086,1,1
313,2012-07-18 06:15:00,0.0,66.532,1,1.823,0,0,2.073,1,1
314,2012-07-18 06:30:00,0.0,130.046,1,2.114,1,0,2.075,1,1
315,2012-07-18 06:45:00,0.0,119.007,1,2.076,1,0,2.075,1,1
316,2012-07-18 07:00:00,0.0,125.699,1,2.099,1,0,2.077,1,1
317,2012-07-18 07:15:00,0.0,360.759,1,2.557,1,1,2.101,1,1
318,2012-07-18 07:30:00,0.0,107.811,1,2.033,0,1,2.097,1,1
319,2012-07-18 07:45:00,0.0,214.652,1,2.332,1,1,2.109,1,1
320,2012-07-18 08:00:00,0.0,181.034,1,2.258,1,1,2.116,1,1
321,2012-07-18 08:15:00,0.0,116.126,1,2.065,0,1,2.114,1,1
322,2012-07-18 08:30:00,0.0,129.271,0,2.112,0,1,2.114,1,1
323,2012-07-18 08:45:00,0.0,120.49,0,2.081,0,1,2.112,1,1
324,2012-07-18 09:00:00,0.0,97.413,0,1.989,0,0,2.106,1,1
325,2012-07-18 09:15:00,0.0,128.1,0,2.108,1,0,2.106,1,0
326,2012-07-18 09:30:00,0.0,116.907,0,2.068,0,0,2.104,0,0
327,2012-07-18 09:45:00,0.0,57.375,0,1.759,0,0,2.087,0,0
328,2012-07-18 10:00:00,0.0,110.782,0,2.044,0,0,2.085,0,0
329,2012-07-18 10:15:00,0.0,118.152,0,2.072,0,0,2.084,0,0
330,2012-07-18 10:30:00,0.0,108.266,0,2.034,0,0,2.082,0,0
331,2012-07-18 10:45:00,0.0,128.868,0,2.11,1,0,2.083,1,0
332,2012-07-18 11:00:00,0.0,75.696,0,1.879,0,0,2.073,0,0
333,2012-07-18 11:15:00,0.0,63.677,0,1.804,0,0,2.059,0,0
334,2012-07-18 11:30:00,0.0,1543.546,0,3.189,1,1,2.116,1,1
335,2012-07-18 11:45:00,0.0,877.599,1,2.943,1,1,2.157,1,1
336,2012-07-18 12:00:00,0.0,78.941,1,1.897,0,1,2.144,0,1
